#
1טער קאפיטעל	CHAPTER I .
	Gwendolen on her spirited little chestnut was up with the best , and felt as secure as an immortal goddess , having , if she had thought of risk , a core of confidence that no ill luck would happen to her .
	But she thought of no such thing , and certainly not of any risk there might be for her cousin .
	If she had thought of him , it would have struck her as a droll picture that he should be gradually falling behind , and looking round in search of gates : a fine lithe youth , whose heart must be panting with all the spirit of a beagle , stuck as if under a wizard 's spell on a stiff clerical hackney , would have made her laugh with a sense of fun much too strong for her to reflect on his mortification .
	But Gwendolen was apt to think rather of those who saw her than of those whom she could not see ; and Rex was soon so far behind that if she had looked she would not have seen him .
	For I grieve to say that in the search for a gate , along a lane lately mended , Primrose fell , broke his knees , and undesignedly threw Rex over his head .
#
	Fortunately a blacksmith 's son who also followed the hounds under disadvantages , namely , on foot ( a loose way of hunting which had struck some even frivolous minds as immoral ) , was naturally also in the rear , and happened to be within sight of Rex 's misfortune .
	He ran to give help which was greatly needed , for Rex was a great deal stunned , and the complete recovery of sensation came in the form of pain .
— איך וויל נישט זיין קיין גרויסער פילאזאף —— האט ער	Joel Dagge on this occasion showed himself that most useful of personages , whose knowledge is of a kind suited to the immediate occasion : he not only knew perfectly well what was the matter with the horse , how far they were both from the nearest public-house and from Pennicote Rectory , and could certify to Rex that his shoulder was only a bit out of joint , but also offered experienced surgical aid .
#
געענטפערט — איך וויל בעסער זיין א גרויסער גענעראל .	`` Lord , sir , let me shove it in again for you ! I 's seen Nash , the bone-setter , do it , and done it myself for our little Sally twice over .
	It 's all one and the same , shoulders is .
	If you 'll trusten to me and tighten your mind up a bit , I 'll do it for you in no time .
	``
#
— איך פערשטעה , דו מיינסט — האט רער לעהרער ווייטער געזאגט — אז גענעראלען ווערען גרויס אהן לערנען , דערפאר ווילסטוזיין א גענעראל .	`` Come then , old fellow , '' said Rex , who could tighten his mind better than his seat in the saddle . And Joel managed the operation , though not without considerable expense of pain to his patient , who turned so pitiably pale while tightening his mind , that Joel remarked , `` Ah , sir , you are n't used to it , that 's how it is .
	I 's see lots and lots o ' joints out .
.	I see a man with his eye pushed out once -- that was a rum go as ever I see . You ca n't have a bit o ' fun wi'out such sort o ' things .
	But it went in again .
.	I 's swallowed three teeth mysen , as sure as I 'm alive . Now , sirrey '' ( this was addressed to Primrose ) , `` come alonk -- you mus n't make believe as you ca n't .
	``
#
דאס ה . אט אבער דער לעהרער נאר געשפאסט .	Joel being clearly a low character , it is , happily , not necessary to say more of him to the refined reader , than that he helped Rex to get home with as little delay as possible .
אין אמת'ן אבער האט ערזעהר געהאלטען פון רעראנדא'ן און געוואוסט אז אויב ער וועט נארוועלען קען ער זיין דער גרעסטער מאן אויף רער וועלט .	There was no alternative but to get home , though all the while he was in anxiety about Gwendolen , and more miserable in the thought that she , too , might have had an accident , than in the pain of his own bruises and the annoyance he was about to cause his father . He comforted himself about her by reflecting that every one would be anxious to take care of her , and that some acquaintance would be sure to conduct her home .
#
אין אוניווערזיטעט האבען זיך ע . - שט אנגעהויבען די גוטע צייטען פארדעראנדא'ן .	Mr. Gascoigne was already at home , and was writing letters in his study , when he was interrupted by seeing poor Rex come in with a face which was not the less handsome and ingratiating for being pale and a little distressed .
ער האט געלערנט און פערבראכט מיט די חברים . אמאל נאר ,אז א חבר האט איה ,ם דערצעהלט פון דער היים און פון טאטע - מאמע , איזדעראנדא אומעטיג געווארען און גרויס צער געהאט , וואס ער מוז שוויינעןאון האט גארנישט צו דער - צעהלען פון זיין טאטע - מאמע .	He was secretly the favorite son , and a young portrait of the father ; who , however , never treated him with any partiality -- rather , with an extra rigor . Mr. Gascoigne having inquired of Anna , knew that Rex had gone with Gwendolen to the meet at the Three Barns .
.	
.	
#
איינמאל האט ער בעקומען א בריעף פון'ם פעטער .	`` What is the matter ?
דער פעטער שרייבט איהםאז ער האט חתונה געהאט , ער איז דעמאלט געווען שוין נאהענט צו פופציג ,גענומען האט ער פרייליין רעימאנד , ער קען זי און ער זאגט איהם : — דאסדארף דיר נישט שטערען צו קוצען אויף וואקאציע . מאדאם מאלינדזשער איזזעהר א גוטע , וועסט זי ליעב בעקומען ווען דו וועסט זיך מיט איהר בעקענען .	`` he said hastily , not laying down his pen .
#
דעראנדא האט נישט געוואוסט פאר וואס , נאר ער איז עפעס אזויטרויעריג געווארען פון די נייעס .	`` I 'm very sorry , sir ; Primrose has fallen down and broken his knees . ``
#
מאדאם מאלינדזשער האט שוין געהאט די דריטע טאכטער און סער הוגא איזנישט צופריעדען געווען .	`` Where have you been with him ?
די טעכטער זיינען געווען גאנץ שעהן , אבער דאסוואס ער האט קיין זוהן נישט געהאט האט איהם פערדראסען , און דעםברודער'ס זוהן , גראנדקארט , וועט איהם ירש'ענען .	`` said Mr. Gascoigne , with a touch of severity . He rarely gave way to temper .
#
דעראנדא'ן האט דאס וועה געטהאן .	
ער האט אלץ געהאלטען אז ער איז דערזוהן , ער איז דער אמת'ער יורש מאלינדזשער'ס , נאר דער אלטער שעמט זיךאויסצוזאגען און דערווייל וועט קומען א פרעמדער און וועט אלץ צונעהמען . ער איז נישט אין כעס געווען אויפ'ן פעטער , ער האט אויף קיינעם נישטגעקענט זיין אין כעס , נאר שטילערהייט ה .	`` To the Three Barns to see the hounds throw off .
אט עס איהם שטארק וועה געטהאן . איינמאל , ווען ער איז אהיים געקומען אויף וואקאציע , איז ער אריין צוםפעטער און געפרעגט :	``
#
— וואס ז . אל איך מיר אויסקלייבען צו לערנען ווייטער  ?	`` And you were fool enough to follow ? ``
#
— די וועלט איז פאר דיר אפען , טהו ווי דיר געפעלט , — האט איהם סערהונא געענטפערט .	`` Yes , sir .
— דו האסט צייט צי קלערען וועגען א תכלית , זיץ אוןלערען דערווייל .	I did n't go at any fences , but the horse got his leg into a hole . ``
#
— יא , איך דארף אבער טראכטען וועגען פרנסה — האט דעראנדא געזאגטרויט ווערענדיג . — עס וועט דאך קומען א צייט ווען איך וועל מוזען געהןאויף אייגענעם ברויט , אייביג וועל איך דאך ניט קענען זיין ביי דיר .	`` And you got hurt yourself , I hope , eh !
. .	``
#
— האסט א טעות , מיין קינד , — האט סער ה .	
וגא געזאגט . — אודאידארפסטו נישט ווארפען מיט געלד אויף רעכטס און אויף לינקס ; איבעריגענסדארף איך דיר ד .	`` I got my shoulder put out , but a young blacksmith put it in again for me .
אט ניט זאגען , ביזט קיין מאל קיין פערשווענדער ניטגעווען ; און איך וועל דיר יעהרליך געבען זיבען הונדערט פונט און דו וועסטזיך קענען גאנץ גוט איינארדנען . שפעטר וועסטו קענען זיין אןאדוואקאט , א שריפטשטעלער , א פאליטיקער .	I 'm just a little battered , that 's all .
גיב דיך אב דערמיט , לערעןפאליטיק , איך וועל זיין גליקליך אז מיין ליעבער דניאל וועט זיךבעשעפטיגען מיט דעם זעלבען וואס איך .	``
#
פאר גרויס פרייד האט דניאל געוואלט ארומכאפען דעם פעמער און איהםאויסקושען פאר דאנקבארקייט .	`` Well , sit down .
באלד האט ער זיך אבער דערמאנט אז ערווייסט אלץ נישט ווער זיין טאטע - מאמע זיינעז , האבען איהם די הענט נישטגענומען דערצו .	``
#
עס איז איהם איינגעפאלען אז יעצט איז רי בעסטע צייט ער זאל אלץ פרעגעןדעם פעטער .	
ער האט אבער מורא געהאט אז ער וועט איהם נישט דערצעהלען ,האט ער געשוויגען און נישט געפרעגט . און דאס וואס דער פעטער גיט איהםאזא גרויסען יעהרליכען געהאלט איז דאס אודאי זיין ירושה , די מוטערהאט דאס איבערגעגעבען דעם פעטער , ער זאל דאס איהם איבערגעבען און ערטהוט איהם גאר קיין טובה נישט דערמיט .	`` I 'm very sorry about the horse , sir ; I knew it would be a vexation to you .
. .	``
#
סער הוגא האט גאר ניט געוואוסט וואס עס טהוט זיך אב אין דעראנדא'סהארץ , ער האט געשמועסט מיט איהם פון לערנען , אזוי ווי דא וואלט גארנישט געווען .	`` And what has become of Gwendolen ? `` said Mr. Gascoigne , abruptly .
אין אוניווערזיטעט האבען אלע פהאפעסארען ליעב געהאט דעראנדא'ן . און יערער ה .	Rex , who did not imagine that his father had made any inquiries about him , answered at first with a blush , which was the more remarkable for his previous paleness .
אט געזאגט :	Then he said , nervously --
#
— א , ווען דעראנדא וואלט געוואלט זיך אבנעבען מיט איין זאך וואלטער געווארען גאר גרויס .	`` I am anxious to know -- I should like to go or send at once to Offendene -- but she rides so well , and I think she would keep up -- there would most likely be many round her . ``
#
ער האט אבער נישט געהאט קיין איין איינציגען ציעל צו וועלכען ער זאלשטרעבען , נישט געווען קיין איין איינציגע זאך וואס זאל איהם בעזונדערציהען . די גאנצע וועלט איז איהם געפעלען און אלץ ה .	`` I suppose it was she who led you on , eh ?
אט ער געוואלטקענען און וויסען .	
צום ערשטען האט ער געלערנט מאטעמאטיק און געווען דערגוטער סטודענט .	
באלד האט ער אבער אויסגעפונען אז דאס איז נישט גוטגענוג פאר איהם מיט זיינע פאנטאזיעס , האט ער עס אוועקגעווארפען אוןגענומען לערנען געשיכטע , דאס האט ער דאך ליעב געהאט פון קליינווייזאויף . און פלוצלונג איז איהם גאר איינגעפאלען איבערצולאזען דאסקליינע קעמברידזש און זיך אוועקלאזען איבער דער וועלט .	`` said Mr. Gascoigne , laying down his pen , leaning back in his chair , and looking at Rex with more marked examination .
ער וועט זעהןפערשיעדענע פעלקער , בעקענען זיך מיט זייערע פיהרונגען און דאס שטודיוםוועט ער ענדיגען אין אויסלאנד .	
ער האט אבער מורא גע אט אז דאס וועטמאלינדזשער'ן נישט געפעלען , איז איהם א חבר פון אוניווערזיטעט געקומעןצו הילף .	
#
דעראנדא האט געפונען א טרייען פריינד אין אוניווערזיטעט , האנס מייריקהאט ער געהייסען . האנס איז איהם געווען איבער געגעבען פון דער ערשטערמינוט אן וואס ער האט איהם דערזעהן .	`` It was natural for her to want to go : she did n't intend it beforehand -- she was led away by the spirit of the thing .
א וואונדערבארער בחור איז האנסמייריק געווען און ווער עס האט איהם געזעהן האט זיך געמוזט אבשטעלעןקוקען אויף איהם .	And , of course , I went when she went . ``
#
ער האט געהאט א לענגליך , איידעל פנים מיט בלאנדע האר ביז אויפ'ןרוקען אזוי ווי א קינסטלער .	Mr. Gascoigne left a brief interval of silence , and then said , with quiet irony , -- '' But now you observe , young gentleman , that you are not furnished with a horse which will enable you to play the squire to your cousin . You must give up that amusement .
אין א מינוט האט ער זיך פערטראכט אוןזיין איידעל פנים איז פול געווארען מיט קנייטשען .	You have spoiled my nag for me , and that is enough mischief for one vacation . I shall beg you to get ready to start for Southampton to-morrow and join Stilfox , till you go up to Oxford with him .
	That will be good for your bruises as well as your studies .
	``
#
זיין פאטער איז געווען א קופער - שמיער . מיט עלף יאהר צו	Poor Rex felt his heart swelling and comporting itself as if it had been no better than a girl 's .
#
ריק איז ער געשטארבען און איבערגעלאזען אן אלמנה מיט דריי טעכטער אוןאיין זוהן , אהן א גראשען ביי דער נשמה . די אלמנה האט שווער און ביטערגעארבייט אויפ'ן שטיקעלע ברויט און האנסאיז געווען רי איינציגע האפנונג זייערע אז ער וועט אויפוואקסען וועט ערזיי ארויסהעלפען .	`` I hope you will not insist on my going immediately , sir . ``
#
ה . אנט האט טאקע געוואלט העלפען דער מאמען מיט רי שוועסטער , איז עראבער נישט געווען קיין געשטעלטער בחור אז מען זאל זיך קענען אויף איהםפערלאזען .	`` Do you feel too ill ?
אט האט ער אנגעהויבען טהאן עפעס און געארבייט טאג אוןנאכט און נישט אויפגעהערט און פלוצלונג איז איהם נישט געפעלען , ה . אט ערגלייך אוועקגעשליידערט און מעהר זיך נישט געוואלט צוריהרען דערצו .	``
#
ער האט אנגעהויבען פאנטאזירען , ארומטראגען זיך מיט מאדנע זאכען ,גע'חלומט צו ווערען א מאלער און ניט פערדיענט קיין גראשען . דעמאלטהאט ער זיך דאס בעקענט מיט רעראנדא'ן און רעראנדא האט איהם שטארקליעב בעקומען .	`` No , not that -- but -- '' here Rex bit his lips and felt the tears starting , to his great vexation ; then he rallied and tried to say more firmly , `` I want to go to Offendene , but I can go this evening .
זיי האבען זיך צוגעבונדען איינער צום אנדערען , געזעסעןטאג און נאכט צוזאמען און געלעבט ווי ברידער . האנס האט זיין גאנץביטער הארץ אראפגערעדט פאר דעראנדא'ן .	``
ער האט איהם דערצעהלט ווי .	
ארים זיין טאמע איז און ווי שטארק ליעב ער האט זי .	
ער וואלטגעוואלט זיין א מאלער , נאר ער קען דאס נישט , ווייל ער מוזאויפהאלטען די מאמע מיט די קינדער .	
#
דעראנדא האט איהם בערוהינט , געטרייסט און געגעבען גוטע עצות , אמאלאויך אביסעל געלד .	`` I am going there myself .
איינמאל איז האנס קראנק געווארען , האט איהםדעראנדא אבגעהיט ווי א מלאך , ער האט געארבייט פאר איהם , געשריבעןבריעף צו זיין מאמען , פערשטעהט זיך , ער ה . אט נישט אויסגעז .	I can bring word about Gwendolen , if that is what you want .
אנט אזהאנס איז קראנק , נאר אז ער איז שטארק פערנומען און האט נישט קייןצייט צו שרייבען .	``
#
דערווייל האט רעראנדא פערנאכלעסיגט זיין לערנען און אז עס איזגעקומען צו די עקזאמענס איז ער דורכגעפאלען .	Rex broke down .
דאס האט איהם גראד הנאהגעטהאן . איצט האט ער אן אויסרייד פאר'ן פעטער אוועקצופאהרען פוןקעמברידזש .	He thought he discerned an intention fatal to his happiness , nay , his life .
האנס האט געוואוסט אז דאס איז זיין שולד , ווען נישט ערוואלט דעראנדא אויסגעהאלטען דעם עקזאמען אויסגעצייכענט .	He was accustomed to believe in his father 's penetration , and to expect firmness .
עס האט איהםשטארק וועה געטהאן און שטילערהייט האט ער געשריבען א גריעף צו סערהוגא מאלינדזשער און איהם דערצעהלט דעם גאנצען אמת , אז נאר צוליעבזיין קראנקהייט איז דעראנדא דורכגעפאלען . און דאס איז דוקאגוט געווען פאר דעראנדא'ן .	`` Father , I ca n't go away without telling her that I love her , and knowing that she loves me .
ער . האט שוין געקענט אנהויבען מיט'ן פעטעררעדען וועגען זיינע פלענער .	``
#
אין איין טאג זיינען די ביידע חברים אוועק פון קעמברידזש און געפאהרעןנאך לאנדאן . האנס איז געבאהרען נאך טשעלטי , צו זיין מאמע , אוןדעראנדא איז אוועק צום פעטער אויפ'ן גוט .	Mr. Gascoigne was inwardly going through some self-rebuke for not being more wary , and was now really sorry for the lad ; but every consideration was subordinate to that of using the wisest tactics in the case . He had quickly made up his mind and to answer the more quietly --
#
דעראנדא האט געמיינט אז דער פעטער וועט זיך בייזערען אויף איהם , צוםסוף האט ער איהם זעהר גוט אויפגענומען , און אן ער האט שוין געהאטדערצעהלט דעם גאנצען פלאן זיינעם האט איהם דער אלטער טאלינדזשער אוויילע אנגעקוקט , מיט די אויגען דורכגענומען און געזאגט :	`` My dear boy , you are too young to be taking momentous , decisive steps of that sort . This is a fancy which you have got into your head during an idle week or two : you must set to work at something and dismiss it .
	There is every reason against it .
	An engagement at your age would be totally rash and unjustifiable ; and moreover , alliances between first cousins are undesirable .
	Make up your mind to a brief disappointment .
	Life is full of them .
	We have all got to be broken in ; and this is a mild beginning for you .
	``
#
	`` No , not mild .
	I ca n't bear it .
	I shall be good for nothing .
— ווי איך זעה , ווילסטו נישט זיין קיין גאנצער ענגלענדער  ?	I should n't mind anything , if it were settled between us . I could do anything then , '' said Rex , impetuously .
	`` But it 's of no use to pretend that I will obey you .
	I ca n't do it .
	If I said I would , I should be sure to break my word .
	I should see Gwendolen again .
	``
#
— פארוואס  ? — האט דעראנדא זיך געוואונדערט — איך וויל זיין אןענגלענדער , איך וויל אבער קענען א סך און וויל לערגען נישט בלויז איןענגלאנד , נאר אין אויסלאנד אויך .	`` Well , wait till to-morrow morning , that we may talk of the matter again -- you will promise me that , '' said Mr. Gascoigne , quietly ; and Rex did not , could not refuse .
#
— נא , רו וועסט שוין , זעהט אויס , נישט געהן אויפ'ן זעלבען ווענ , ווי דיענגלישע אריסטאקראטיע . גוט , דו ווילסט א נייעם וועג , געהגעזונטערהייט , איך וועל דיך נישט אברעדען , טהו וואס דיר געפעלט .	The rector did not even tell his wife that he had any other reason for going to Offendene that evening than his desire to ascertain that Gwendolen had got home safely . He found her more than safe -- elated .
מירענגלענדער זיינען אויך נישט גאר אהן פעהלער און איך אליין בין אויך אסך געווען אין אויסלאנד . נאר איין זאך בעט איך דיר , טהו מיר צוליעב  :זאלסט נישט אראבווארפען פון זיך ענגלאנד , פערגעס נישט דיין פאלק ,אז די וועסט זיין אפילו אין דער פרעמד .	Mr. Quallon , who had won the brush , had delivered the trophy to her , and she had brought it before her , fastened on the saddle ; more than that , Lord Brackenshaw had conducted her home , and had shown himself delighted with her spirited riding .
זעה , זיי נישט צו קלוג , נישט צופיעל עניו און ניט צו פרום . ס'אי גאנץ שעהן אז א מענש איז גוט , נאראלץ מיט א מאס .	All this was told at once to her uncle , that he might see how well justified she had been in acting against his advice ; and the prudential rector did feel himself in a slight difficulty , for at that moment he was particularly sensible that it was his niece 's serious interest to be well regarded by the Brackenshaws , and their opinion as to her following the hounds really touched the essence of his objection .
נו , איך וועל דיך נישט אויפהאלטען , מיין קינד . ווארטביז איך וועל ענדיגען מיין ארבייט אין פארלאמענט , וועל איך דיךבעגלייטען .	However , he was not obliged to say anything immediately , for Mrs. Davilow followed up Gwendolen 's brief triumphant phrases with --
#
איידער ער איז געפאהרען נאך אויסלאנד איז ער פערפאהרען צו האנס'ן איןטשעלסי . האנס האט איהם פארגעשטעלט פאר זיין מוטער און שוועסטער .	`` Still , I do hope you will not do it again , Gwendolen .
דימיידלעך האבען דערזעהן דעם פרעמדען שעהנעס מאן און האבען זיך פערשעהמטאון אוועק אן א זייט , יערע איינע האט איהם אכער שטארק נאכגעקוקט ,זיין געהן , זיין שטעהן , זיין זיצען און רערען , יערע זאך וואס ער האטגעטהאן האבען זיי אויפגעפאסט און ס'איז זיי געווען ליעב אוןטהייער . האנס האט זיי נאך פריהער דערצעהלט פון איהם און וויפעל גוטס ערהאט איהם געטהאן .	I should never have a moment 's quiet .
זיי האבען זיך איהם נאך פריהער פארגעשטעלט פאר אוואונדערבארען מענש און איצט אז זיי האבען איהם דערקענט ה ,אט ער בייזיי אויסגעזעהן ווי א גאט . אז ער איז אוועקגעגאנגען , האט די יונגסטעמיידעל גענומען א טאוועל מיט קרייד און אויסגעמאלען דעראנדא'ן איןגעשטאלט פון א מלאך פון די אלטע , אלטע צייטען .	Her father died by an accident , you know .
.	
.	
א לאנגע צייט איז דעראנדא געווען אין אויסלאנד , אויסגעפאהרעןפערשיעדענע שטערט און לענדער . ער האט א סך געלערנט , איז פיעל קליגערגעווארען און אז ער האט געענדיגט , איז ער צוריק געפאהרען נאךענגלאנד .	``
#
איינמאל , אין א זומער טאג איז עס געווען ; איין יאהר איז נאר אריבערפון זייט ער איז אהיים געקומען ; איז ער אווענד - צייט געזעסען אין אקליין שיפעל און געפאהרען איבער דער טעמזא .	
נאך אלס אינגעל האט ערליעב געהאט שיפען זיך . איצט , אז ער האט געוואוינט מיט די טאלינדזשערסאין לאנדאן , איז ער גאנץ אפט אוועק צום וואסער , גענומען א קלייןשיפעל און זיך אוועקגעלאזט איבער'ן וואסער און אזוי געפאהרען פוןנאכמיטאנ אן ביז ס'איז גוט טונקעל געווארען .	Here Mrs. Davilow had turned away from Gwendolen , and looked at Mr. Gascoigne .
#
זיצט ער אזוי אליין אין שיפעל און פאהרט .	
ס'איז שוין גוט אבענד .	
ער איזגעגאנגען אנגעטהאן אין א בלויען רעקיל , אין א מאטראסען היטעלע אוןזיינע געריכטע לאקען האבען זיך ארויסגעזעהען דערפון .	
.	
א , איצט איז ערגאר אן אנדער מענש געווען .	
געהאט א פאר גרויסע , שעהנע וואנסען , אפאר פעסטע געזונטע הענט , א פולען פנים און די שטימע איז שוין אויךנישט געווען אזוי דין און ווייך . נאר די אויגען זיינען געבליבען דיזעלבע און האבען דערמאנט אין דעם אטאליגען אינגעל דעראנדא , וואסהאט אויסגעזעהן ווי אן איידעל מלאך'ל .	`` Mamma , dear , '' said Gwendolen , kissing her merrily , and passing over the question of the fears which Mrs. Davilow had meant to account for , `` children do n't take after their parents in broken legs . ``
#
דאס שיפעל האט זיך לייכט געגליטשט איבער'ן וואסער , אוןדניאל האט פריי אויפ'ן קול זיך צוגעזונגען א ליעד .	Not one word had yet been said about Rex .
ער איז צוגעפאהרעןצום בריק . דער בריק איז געווען פול מענשען , א סך האבען שפאציערט בייםברעג , אנדערע זיינען געפאהרען אויפ'ן טייך .	In fact there had been no anxiety about him at Offendene .
דער . אנדא האט געשווינדגעארבייט מיט די וועסלעס און געוואלט וואס גיכער אריבערפאהרען , וועןפלוצלונג האט ער דערזעהן א יונגע מיידעל שטעהן ביים ברעג , א קליינעאון אן איידעלע מיידעל , דאס פנים פערהאנגען מיט א וואואל און א טוךאויף די פלייצעס .	Gwendolen had observed to her mamma , `` Oh , he must have been left far behind , and gone home in despair , '' and it could not be denied that this was fortunate so far as it made way for Lord Brackenshaw 's bringing her home .
זי האלט רי הענד פערלייגט אויף די קניה און קוקט אזוילאנג אויפ'ן וואסער .	But now Mr. Gascoigne said , with some emphasis , looking at Gwendolen --
#
דעראנדא האט אין דער מינוט אויפגעהערט פאהרען , און דאס מיידעל האטזיך א ריס געטהאן , ווי איינער וואס חאפט זיך פלוצלונג אויף פוןשלאף . זי האט דאן די אויגען אויפגעהויבען , געקוקט אויף איהם .	`` Well , the exploit has ended better for you than for Rex .
א מינוטהאבען זיי זיך ביידע  .	
אנגעקוקט — און איין מינוט איז גענוג צו זעהן אמענשען און קיינמאל איהם ניט פערגעסען .	
זי האט געקוקט אזוי אומעטיג אוןפערזארגט , אז דעראנדא'ן ה .	
אט זי אויסגעוויזען ווי א מענש וואס איזשרעקליך פערצווייפעלט , וואס דאס לעבען איז איהם נישט ליעב . ער איז פולגעווארען מיט רחמנות אויף איהר און ער האט נישט געקענט איינרוהען .	``
#
איז זי הונגעריג  ?	`` Yes , I dare say he had to make a terrible round .
— האט ער זיך געפרעגט , — און אפשר אן אנדער אומגליק	You have not taught Primrose to take the fences , uncle , '' said Gwendolen , without the faintest shade of alarm in her looks and tone .
#
דאס מיידעל איז אבער באלד אוועק פון ברעג און אנידערגעזעצט זיך אויףא באנק נעבען רי בויטער .	`` Rex has had a fall , '' said Mr. Gascoigne , curtly , throwing himself into an arm-chair resting his elbows and fitting his palms and fingers together , while he closed his lips and looked at Gwendolen , who said --
#
איך ווייס  ?	
— האט ער זיך געטראכט — וואס קוק איך איהר אזוי נאך  ? וואס איז מיר  ?	`` Oh , poor fellow !
זי איז ארים  ?	
גענוג א'רימע דא אין לאנדאן אויף שריטאון טריט . ער האט גיך אנגעהויבען ארבייטען מיט די וועסלעס און איזאוועקגעפאהרען ווייט פונ'ם ברעג .	he is not hurt , I hope ?
דאס ארימע מיידעל האט איהם אבערנישט אנגעלאזט .	
וואס ער האט נישט געטראכט , איז זי איהם אלץ אויפ'ןגעדאנק געקומען . זי האט זיך איהם פארגעשטעלט : א ווייסע , בלאסעמיידעל מיט שווארצע אוגען און לאנגע שארפע ברעמען , אזוי אומעטיג ,פולזארג און צער .	`` with a correct look of anxiety such as elated mortals try to super-induce when their pulses are all the while quick with triumph ; and Mrs. Davilow , in the same moment , uttered a low `` Good heavens !
זיין פאנטאזיע ה .	
אט זיך איהם אנגעצונדען און ערהאט שוין אנגעהויבען זיך מאלען פערשיעדענע בילדער פוןאיהר לעבען . ער האט אפילו געפרואווט לאכען און ז .	There !
אנען אז איהם דאכטזיך נאר אזוי , אז אלע מענשען האבען סודות און וואונדער אין זייערלעבען פונקט ווי ער , דאס אלץ האט איהם אבער גארנישט געהאלפען . דימיידעל איז אנדערש ווי אלע אנ - דערע , אזוי זאגט איהם דאס הארץ ,איהר לעבען איז אודאי אזוי מאדנע ווי זיינס — ווער ווייס  ?	``
—	
#
ער האט די וועסלעס אוועקגעלעגט און געלאזען דאס שיפעל געהן אויףגאט'ס בעראט .	Mr. Gascoigne went on : `` He put his shoulder out , and got some bruises , I believe . `` Here he made another little pause of observation ; but Gwendolen , instead of any such symptoms as pallor and silence , had only deepened the compassionateness of her brow and eyes , and said again , `` Oh , poor fellow !
	it is nothing serious , then ?
און אזוי איז ער צוגעקומען ביז דעם ריטשמאנד בריק .	`` and Mr. Gascoigne held his diagnosis complete . But he wished to make assurance doubly sure , and went on still with a purpose .
#
עס איז געווען א רוהיג און א שטיל פלאץ .	`` He got his arm set again rather oddly .
קיין מענשען האבען זיך נישטגעזעהן . האט ער אנגעבונדען דאס שיפעל אן ברעג , און זיך אויסגעצויגעןאזוי גרויס ווי ער איז .	Some blacksmith -- not a parishioner of mine -- was on the field -- a loose fish , I suppose , but handy , and set the arm for him immediately . So after all , I believe , I and Primrose come off worst .
ער ה .	The horse 's knees are cut to pieces .
אט זיך אונטערגעשפארט די הענדצוקאפענס , געלעגען און געטראכט .	He came down in a hole , it seems , and pitched Rex over his head . ``
#
פלוצלונג האט ער בעמערקט א געשטאלט פון א מענשען דרעהט זיך ארוםביים ברעג , קוקט זיך ארום אויף אלע זייטען ווי זי וואלט מורא געהאטמען זאל זי נישט דערזעהן . די געשטאלט האט זיך אלץ מעהר דערנעהענטערצום וואסער , ווי זי וואלט זיך געוואלט אריינווארפען .	Gwendolen 's face had allowably become contented again , since Rex 's arm had been reset ; and now , at the descriptive suggestions in the latter part of her uncle 's speech , her elated spirits made her features less unmanageable than usual ; the smiles broke forth , and finally a descending scale of laughter .
.	
.	
מיט אייןשפרונג איז דעראנדא געשטאנען אויפ'ן ברעג , צוגעלאפען צו איהר אוןדערזעהן אז דאס איז די זעלבע מיידעל וואס האט איהם פריהער נאכגעקוקט .	
#
— שרעק זיך נישט — האט ער געזאגט מיט א ווייך קול — איך זעה איהר זייטאן אונגליקליכע . זאגט מיר , אפשר וועל איך אייך קענען העלפען .	`` You are a pretty young lady -- to laugh at other people 's calamities , '' said Mr. Gascoigne , with a milder sense of disapprobation than if he had not had counteracting reasons to be glad that Gwendolen showed no deep feeling on the occasion .
#
זי האט אויף איה .	`` Pray forgive me , uncle .
ם א קוק געטהאן און האט איהם אויך רערקענט .	Now Rex is safe , it is so droll to fancy the figure he and Primrose would cut -- in a lane all by themselves -- only a blacksmith running up .
א וויילעאיז זי געשטאנען און געשוויגען , באלד האט זי שטיל געזאגט :	It would make a capital caricature of 'Following the Hounds . ' ''
#
	Gwendolen rather valued herself on her superior freedom in laughing where others might only see matter for seriousness .
— איהר ווייסט , איך האב אייך שוין לאנג געזעהן . .	Indeed , the laughter became her person so well that her opinion of its gracefulness was often shared by others ; and it even entered into her uncle 's course of thought at this moment , that it was no wonder a boy should be fascinated by this young witch -- who , however , was more mischievous than could be desired .
.	
#
	`` How can you laugh at broken bones , child ?
	`` said Mrs. Davilow , still under her dominant anxiety .
זי ה ,אט זיך פערטראכט און נאך שטילער , ווי צו זיך אליין , האט זיגערעדט :	`` I wish we had never allowed you to have the horse . You will see that we were wrong , '' she added , looking with a grave nod at Mr. Gascoigne -- '' at least I was , to encourage her in asking for it .
	``
#
— אין אונגליק , אין אונגליק .	`` Yes , seriously , Gwendolen , '' said Mr. Gascoigne , in a judicious tone of rational advice to a person understood to be altogether rational , `` I strongly recommend you -- I shall ask you to oblige me so far -- not to repeat your adventure of to-day . Lord Brackenshaw is very kind , but I feel sure that he would concur with me in what I say .
	To be spoken of as 'the young lady who hunts ' by way of exception , would give a tone to the language about you which I am sure you would not like .
.	Depend upon it , his lordship would not choose that Lady Beatrice or Lady Maria should hunt in this part of the country , if they were old enough to do so . When you are married , it will be different : you may do whatever your husband sanctions .
.	But if you intend to hunt , you must marry a man who can keep horses . ``
#
